ProductName,Price,CategoryRanking,Original_URL
"Belkin Power Strip Surge Protector - 12 AC Multiple Outlets & 8 ft Long Flat Plug Heavy Duty Extension Cord for Home, Office, Travel, Computer Desktop, Laptop & Phone Charging Brick (3,940 Joules)",$24.99,#22,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
Echo Dot (4th Gen) | Smart speaker with clock and Alexa | Glacier White,$59.99,#5,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
Apple AirPods (3rd Generation),$149.99,#9,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
Apple AirPods Pro,$174.00,#2,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Bluetooth 5.2 Wireless Earbuds,Kurdene S8 Deep Bass Sound 38H Playtime IPX8 Waterproof Earphones Call Clear with Microphone in-Ear Stereo Headphones Comfortable for iPhone, Android",$19.53,#13,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"sephia SP3060 Earbuds Wired in-Ear Headphones with Tangle-Free Cord, Noise Isolating, Bass Driven Sound, Metal Earphones, Carry Case, Ear Bud Tips, 3.5mm",$11.99,#26,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
Amazon Basics Uni-Directional DisplayPort to HDMI Display Cable 4K@30Hz - 6 Feet,$9.21,#23,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
Oontz Bluetooth Speaker | Portable Bluetooth Speakers | Small But Powerful | 100 Foot Wireless Bluetooth Range | 14 Hours Battery Life | Water Resistant (IPX5),$27.99,#30,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
Echo Buds (2nd Gen) | Wireless earbuds with active noise cancellation and Alexa | Black,$49.99,#21,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
,,,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
Echo Dot (4th Gen) | Smart speaker with Alexa | Twilight Blue,$49.99,#14,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Sony ZX Series Wired On-Ear Headphones, Black MDR-ZX110",$9.99,#20,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Universal Remote Control, XRT136 for VIZIO All LED LCD HD 4K UHD HDR Smart TVs",$13.99,#29,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
Apple AirPods (2nd Generation),$99.00,#1,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
TOZO T6 True Wireless Earbuds Bluetooth Headphones Touch Control with Wireless Charging Case IPX8 Waterproof Stereo Earphones in-Ear Built-in Mic Headset Premium Deep Bass for Sport Black,$24.99,#4,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Aux Cord for iPhone, iSkey 3.5mm Aux Cable for Car Compatible with iPhone 13 12 11 XS XR X 8 7 6 iPad iPod for Car Home Stereo, Speaker, Headphone, Support All iOS Version - 3.3ft (White)",$9.99,#15,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
Angrox Universal Remote Control for Samsung-TV-Remote All Samsung LCD LED HDTV 3D Smart TVs Models,$12.99,#27,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Sony MDREX15AP In-Ear Earbud Headphones with Mic, Black (MDREX15AP/B)",$9.99,#25,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
TOZO T10 Bluetooth 5.0 Wireless Earbuds with Wireless Charging Case IPX8 Waterproof Stereo Headphones in Ear Built in Mic Headset Premium Sound with Deep Bass for Sport Black,$21.24,#7,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
Amazon Basics High-Speed 4K HDMI Cable - 10 Feet,$8.77,#19,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"LOUTOC Universal TV Remote for Roku TV,Replacement for TCL/Hisense/Sharp Roku TV,TV Remote with Netflix Disney+/Hulu/Prime Video Buttons【Not for Roku Stick and Box】",$10.99,#12,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Anker Soundcore Life Q20 Hybrid Active Noise Cancelling Headphones, Wireless Over Ear Bluetooth Headphones, 40H Playtime, Hi-Res Audio, Deep Bass, Memory Foam Ear Cups, for Travel, Home Office",$55.99,#18,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
Echo Dot (4th Gen) | Smart speaker with Alexa | Glacier White,$49.99,#24,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
USB Wall Charger，LVETEK Surge Protector 5 Outlet Extender with 4 USB Ports (1 USB C Outlet) 3 Sided 1680J Power Strip Multi Plug Outlets Wall Adapter Spaced for Home Travel Office ETL Listed,$12.96,#37,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Amazon Basics High-Speed HDMI Cable (48Gbps, 8K/60Hz ) - 3 Feet, Black",$7.28,#34,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Magic: The Gathering Streets of New Capenna 5 Commander Deck Bundle – Includes 1 Obscura Operation, 1 Maestros Massacre, 1 Riveteers Rampage, 1 Cabaretti Cacophony, 1 Bedecked Brokers",,#36,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Digital Dual Alarm Clock for Bedroom, Large Display Bedside Clock with Battery Backup, USB Phone Charger, Volume, Dimmer, Easy to Set Loud LED Clock for Heavy Sleepers Kid Senior Teen Boy Girl Kitchen",$16.99,#38,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Wireless Earbuds, COTOGNI True Wireless Bluetooth Earbuds Headphones Stereo Sound Earphones with Type C Charging Case,Mic, IPX6 Waterproof, Touch Control (White)",$15.99,#33,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Wake Up Light Sunrise Alarm Clock for Kids, Heavy Sleepers, Bedroom, with Sunrise Simulation, Sleep Aid, Dual Alarms, FM Radio, Snooze, Nightlight, Daylight, 7 Colors, 7 Natural Sounds, Ideal for Gift",$39.98,#35,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
Universal Remote Control for LG Smart TV Remote Control All Models LCD LED 3D HDTV Smart TVs AKB75095307 AKB75375604 AKB74915305,$11.04,#57,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"HDMI Switch,GANA 3 Port 4K HDMI Switch 3x1 Switch Splitter with Pigtail Cable Supports Full HD 4K 1080P 3D Player",$12.99,#51,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Replacement Voice Remote Control (2nd GEN) L5B83H with Power and Volume Control fit for Amazon 2nd Gen Fire TV Cube and Fire TV Stick,1st Gen Fire TV Cube, Fire TV Stick 4K, and 3rd Gen Amazon Fire TV",$29.99,#54,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"DisplayPort to DisplayPort 6 Feet Cable, Benfei DP to DP Male to Male Cable Gold-Plated Cord, Supports 4K@60Hz, 2K@144Hz Compatible for Lenovo, Dell, HP, ASUS and More",$8.99,#99,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Amazon Basics High-Speed HDMI Cable (18 Gbps, 4K/60Hz) - 3 Feet, Pack of 2, Black",$12.67,#56,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Swocny Universal Replacement Remote Compatible with Roku TV, for TCL/Hisense/Sharp/Philips/JVC/RCA/Magnavox/Sanyo/LG/Haier Roku TVs",$6.79,#68,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Beats Solo3 Wireless On-Ear Headphones - Apple W1 Headphone Chip, Class 1 Bluetooth, 40 Hours of Listening Time, Built-in Microphone - Black (Latest Model)",$149.99,#60,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"APC Surge Protector Power Strip, PE76, 1440 Joule, Flat Plug, 7 Outlet Strip Black",$11.99,#86,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Majority Bowfell Small Sound Bar for TV with Bluetooth, RCA, USB, Opt, AUX Connection, Mini Sound/Audio System for TV Speakers/Home Theater, Gaming, Projectors, 50 watt, 15 inch",$39.95,#65,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"BEBEN Wireless Earbuds, 36H Playtime Bluetooth Headphones with Mics and Charging Case for iPhone Android, Waterproof Running Headphones for Gym Yoga Workout, Hi-Fi Sound Over Ear Buds with Earhooks",$32.99,#72,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
Newest Universal Remote Control for All Samsung TV Remote Compatible All Samsung LCD LED HDTV 3D Smart TVs Models,$12.76,#73,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
JBL CHARGE 5 - Portable Bluetooth Speaker with IP67 Waterproof and USB Charge out - Black,$149.95,#90,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"JBL Clip 3, Black - Waterproof, Durable & Portable Bluetooth Speaker - Up to 10 Hours of Play - Includes Noise-Cancelling Speakerphone & Wireless Streaming",$39.95,#83,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"HDMI Switch 4K@60hz HDMI Splitter, Aluminum HDMI 2.0 Switcher 2 in 1 Out, HDMI Splitter 1 in 2 Out, Bi-Directional Switch Support 4K 3D HDR for Xbox PS5/4/3 Blu-Ray Player Fire Stick Roku HDTV",$11.96,#95,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
TOZO T9 True Wireless Earbuds Environmental Noise Cancellation 4 Mic Call Noise Cancelling Headphones and Deep Bass with Light Weight Wireless Charging Case IPX7 Waterproof Built-in Mic Headset Black,$29.99,#64,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Echo (4th Gen) | With premium sound, smart home hub, and Alexa | Charcoal",$99.99,#80,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"4K HDMI Cable 2 Pack 6ft, JSAUX 18Gbps High Speed HDMI 2.0 Braided HDMI Cord, 4K 60Hz HDR, HDCP 2.2, 1080p, 2160P, Ethernet, 3D, Audio Return(ARC) Compatible for Monitor UHD TV PC PS5 PS4 Blu-ray -Red",$12.99,#76,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"SAMSUNG Galaxy Buds Live True Wireless Earbuds US Version Active Noise Cancelling Wireless Charging Case Included, Mystic Black",,#94,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"HDMI Switch 4k@60hz HDMI Splitter, GANA Aluminum Bidirectional HDMI Switcher 2 in 1 Out, Manual HDMI Hub Supports HD for Xbox PS5/4/3 Blu-Ray Player Fire Stick Roku(Only ONE monitor)",$12.99,#87,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Soundcore by Anker Life Q30 Hybrid Active Noise Cancelling Headphones with Multiple Modes, Hi-Res Sound, Custom EQ via App, 40H Playtime, Comfortable Fit, Bluetooth Headphones, Multipoint Connection",$74.00,#89,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"iJoy Matte Finish Bluetooth Headphones, Wireless Over Ear Foldable Headset with Built-in Microphone, FM, Micro SD Card Slot (Stealth)",$18.99,#55,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
Wireless Earbuds Bluetooth Headphones 48hrs Play Back Sport Earphones with LED Display Over-Ear Buds with Earhooks Built-in Mic Headset for Workout Black BMANI-VEAT00L,$29.99,#75,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Amazon Basics 6-Outlet Surge Protector Power Strip, 6-Foot Long Cord, 790 Joule - White",$11.90,#98,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
Kids Headphones - noot products K11 Foldable Stereo Tangle-Free 3.5mm Jack Wired Cord On-Ear Headset for Children/Teens/Boys/Girls/Smartphones/School/Kindle/Airplane Travel/Plane/Tablet (Navy/Teal),$14.44,#74,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"KMC 6-Outlet Surge Protector Power Strip 2-Pack, 900 Joules, 4-Foot Extension Cord, Overload Protection, Black",$19.99,#67,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
GOLREX Bluetooth Headphones Wireless Earbuds with Wireless Charging Case & Dual LED Battery Display 36Hrs Playback Over-Ear Waterproof Earphones with Earhooks Headset Built-in Mic for Sport Black,$37.99,#88,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"iLuv TB100 Wireless Earbuds, Bluetooth, Built-in Microphone, 20 Hour Playtime, IPX6 Waterproof Protection, Compatible with Apple & Android; Includes Compact Charging Case and 3 Ear Tips, Rose Gold",$22.99,#78,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"TOZO NC9 Hybrid Active Noise Cancelling Wireless Earbuds,in Ear Headphones IPX6 Waterproof Bluetooth 5.0 Stereo Earphones, Immersive Sound Premium Deep Bass Headset,Black",$39.99,#100,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Syncwire 3.5mm Nylon Braided Aux Cable (3.3ft/1m,Hi-Fi Sound), Audio Auxiliary Input Adapter Male to Male AUX Cord for Headphones, Car, Home Stereos, Speaker, iPhone, iPad, iPod, Echo & More – Black",$7.99,#70,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
Universal Remote Control for Samsung TV Replacement for LCD LED HDTV 3D Smart Samsung TVs Remote,$9.99,#71,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Earbuds Wired with Microphone Pack of 5, Noise Isolating in-Ear Headphones, Powerful Heavy Bass, High Definition, Earphones Compatible with iPhone, iPod, iPad, MP3, Samsung, and Most 3.5mm Jack",$13.99,#91,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Original LG AKB75095307 Smart TV Remote Control LCD, LED, Smart TV (Batteries NOT Included)",$10.75,#93,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
Amazon Basics 3.5mm to 2-Male RCA Adapter Audio Stereo Cable - 4 Feet,$7.81,#63,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"VESA Certified DisplayPort Cable, iVANKY 1.2 DP Cable 6.6ft/2M, [4K@60Hz, 2K@165Hz, 2K@144Hz], Gold-Plated Braided High Speed Display Port Cable 144Z, for Gaming Monitor, Graphics Card, TV, PC, Laptop",$11.04,#66,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
Pwr TV Power Cord 12Ft Cable for Samsung LG TCL Sony: 2 Prong AC Wall Plug 2-Slot LED LCD Insignia Sharp Toshiba JVC Hisense Electronics UN65KS8000FXZA UN40J5200AFXZA 43UH6100 Black,$9.99,#52,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Roku Voice Remote Pro | Rechargeable voice remote with TV controls, lost remote finder, private listening, hands-free voice controls & personal shortcut buttons for Roku players Roku TV, & Roku audio",$29.99,#97,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"JBL Flip 4, Black - Waterproof, Portable & Durable Bluetooth Speaker - Up to 12 Hours of Wireless Streaming - Includes Noise-Cancelling Speakerphone, Voice Assistant & JBL Connect+",$90.56,#58,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Powerbeats Pro Wireless Earbuds - Apple H1 Headphone Chip, Class 1 Bluetooth Headphones, 9 Hours of Listening Time, Sweat Resistant, Built-in Microphone - Black",$199.95,#69,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Panasonic ErgoFit In-Ear Earbud Headphones RP-HJE120K Dynamic Crystal-Clear Sound, Ergonomic Comfort-Fit, 9mm, Black, PACK, No Mic",$10.99,#82,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"8K HDMI Cable 2.1 48Gbps 6.6FT/2M, Highwings High Speed HDMI Braided Cord-4K@120Hz 8K@60Hz, DTS:X, HDCP 2.2 & 2.3, HDR 10 Compatible with Roku TV/PS5/HDTV/Blu-ray",$11.99,#85,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Beats Studio Buds – True Wireless Noise Cancelling Earbuds – Compatible with Apple & Android, Built-in Microphone, IPX4 Rating, Sweat Resistant Earphones, Class 1 Bluetooth Headphones - Black",$149.95,#61,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Wireless Headphones, Otium Bluetooth Running Headphones Sports Earbuds, IPX7 Waterproof Stereo Earphones for Gym Running 10 Hours Playtime Noise Cancelling Headsets",$22.99,#81,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Amazon Basics High-Speed HDMI Cable (18Gbps, 4K/60Hz) - 3 Feet, Black",$7.79,#62,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
Amazon Basics 3.5mm Male to Female Stereo Audio Extension Adapter Cable - 6 Feet,$5.77,#84,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
Wireless Earbuds occiam Bluetooth Headphones 48H Play Back Earphones in Ear Waterproof with Microphone LED Display for Sports Running Workout Black,$39.99,#92,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"JBL Clip 4: Portable Speaker with Bluetooth, Built-in Battery, Waterproof and Dustproof Feature - Black (JBLCLIP4BLKAM)",$49.95,#96,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"Philips Remote Control for Samsung, Vizio, LG, Sony, Sharp, Roku, Apple TV, RCA, Panasonic, Smart TVs, Streaming Players, Blu-ray, DVD, 3-Device, Black, SRP9232D/27",$5.49,#53,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"SAMSUNG Galaxy Buds Pro, Bluetooth Earbuds, True Wireless, Noise Cancelling, Charging Case, Quality Sound, Water Resistant, Phantom Black (US Version)",$149.99,#77,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
TAGRY Bluetooth Headphones True Wireless Earbuds 60H Playback LED Power Display Earphones with Wireless Charging Case IPX5 Waterproof in-Ear Earbuds with Mic for TV Smart Phone Computer Laptop Sports,$34.99,#59,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
"OMAIC Universal Smart TV Remote Control for Samsung Smart TV,LED,LCD HDTV-One for All Samsung TV",$11.99,#79,https://www.amazon.com/Best-Sellers-Electronics-Home-Audio-Theater-Products/zgbs/electronics/667846011/ref=zg_bs_nav_electronics_1
,,,https://www.amazon.com/Best-Sellers-Electronics-Cell-Phones-Accessories/zgbs/electronics/2811119011/ref=zg_bs_nav_electronics_1
"[Apple MFi Certified] iPhone Charger,5 Pack(3/3/6/6/10FT) Lightning Cable Fast Charging Data Sync Transfer Cord Compatible iPhone 13/12/11 Pro Max/Mini/XS MAX/XR/XS/X/8/7/Plus/6 iPad AirPods-White",$21.99,#14,https://www.amazon.com/Best-Sellers-Electronics-Cell-Phones-Accessories/zgbs/electronics/2811119011/ref=zg_bs_nav_electronics_1
Apple 20W USB-C Power Adapter,$17.98,#5,https://www.amazon.com/Best-Sellers-Electronics-Cell-Phones-Accessories/zgbs/electronics/2811119011/ref=zg_bs_nav_electronics_1
Echo Dot (3rd Gen) for $0.99 and 1 month of Amazon Music Unlimited for $7.99 with Auto-renewal - Charcoal,$8.98,#18,https://www.amazon.com/Best-Sellers-Electronics-Cell-Phones-Accessories/zgbs/electronics/2811119011/ref=zg_bs_nav_electronics_1
