week,count
"{2008-06-11 20:00:00, 2008-06-18 20:00:00}",295
"{2008-06-18 20:00:00, 2008-06-25 20:00:00}",344
"{2008-06-25 20:00:00, 2008-07-02 20:00:00}",298
"{2008-07-02 20:00:00, 2008-07-09 20:00:00}",351
"{2008-07-09 20:00:00, 2008-07-16 20:00:00}",297
"{2008-07-16 20:00:00, 2008-07-23 20:00:00}",361
"{2008-07-23 20:00:00, 2008-07-30 20:00:00}",307
"{2008-07-30 20:00:00, 2008-08-06 20:00:00}",362
"{2008-08-06 20:00:00, 2008-08-13 20:00:00}",321
"{2008-08-13 20:00:00, 2008-08-20 20:00:00}",375
"{2008-08-20 20:00:00, 2008-08-27 20:00:00}",307
"{2008-08-27 20:00:00, 2008-09-03 20:00:00}",370
"{2008-09-03 20:00:00, 2008-09-10 20:00:00}",312
"{2008-09-10 20:00:00, 2008-09-17 20:00:00}",361
"{2008-09-17 20:00:00, 2008-09-24 20:00:00}",317
"{2008-09-24 20:00:00, 2008-10-01 20:00:00}",370
"{2008-10-01 20:00:00, 2008-10-08 20:00:00}",299
"{2008-10-08 20:00:00, 2008-10-15 20:00:00}",374
"{2008-10-15 20:00:00, 2008-10-22 20:00:00}",305
"{2008-10-22 20:00:00, 2008-10-29 20:00:00}",369
"{2008-10-29 20:00:00, 2008-11-05 19:00:00}",319
"{2008-11-05 19:00:00, 2008-11-12 19:00:00}",368
"{2008-11-12 19:00:00, 2008-11-19 19:00:00}",315
"{2008-11-19 19:00:00, 2008-11-26 19:00:00}",375
"{2008-11-26 19:00:00, 2008-12-03 19:00:00}",319
"{2008-12-03 19:00:00, 2008-12-10 19:00:00}",373
"{2008-12-10 19:00:00, 2008-12-17 19:00:00}",316
"{2008-12-17 19:00:00, 2008-12-24 19:00:00}",378
"{2008-12-24 19:00:00, 2008-12-31 19:00:00}",317
"{2008-12-31 19:00:00, 2009-01-07 19:00:00}",367
"{2009-01-07 19:00:00, 2009-01-14 19:00:00}",309
"{2009-01-14 19:00:00, 2009-01-21 19:00:00}",371
"{2009-01-21 19:00:00, 2009-01-28 19:00:00}",297
"{2009-01-28 19:00:00, 2009-02-04 19:00:00}",360
"{2009-02-04 19:00:00, 2009-02-11 19:00:00}",307
"{2009-02-11 19:00:00, 2009-02-18 19:00:00}",362
"{2009-02-18 19:00:00, 2009-02-25 19:00:00}",309
"{2009-02-25 19:00:00, 2009-03-04 19:00:00}",379
"{2009-03-04 19:00:00, 2009-03-11 20:00:00}",318
"{2009-03-11 20:00:00, 2009-03-18 20:00:00}",382
"{2009-03-18 20:00:00, 2009-03-25 20:00:00}",319
"{2009-03-25 20:00:00, 2009-04-01 20:00:00}",380
"{2009-04-01 20:00:00, 2009-04-08 20:00:00}",318
"{2009-04-08 20:00:00, 2009-04-15 20:00:00}",372
"{2009-04-15 20:00:00, 2009-04-22 20:00:00}",317
"{2009-04-22 20:00:00, 2009-04-29 20:00:00}",387
"{2009-04-29 20:00:00, 2009-05-06 20:00:00}",306
"{2009-05-06 20:00:00, 2009-05-13 20:00:00}",357
"{2009-05-13 20:00:00, 2009-05-20 20:00:00}",313
"{2009-05-20 20:00:00, 2009-05-27 20:00:00}",360
"{2009-05-27 20:00:00, 2009-06-03 20:00:00}",303
"{2009-06-03 20:00:00, 2009-06-10 20:00:00}",369
"{2009-06-10 20:00:00, 2009-06-17 20:00:00}",308
"{2009-06-17 20:00:00, 2009-06-24 20:00:00}",376
"{2009-06-24 20:00:00, 2009-07-01 20:00:00}",309
"{2009-07-01 20:00:00, 2009-07-08 20:00:00}",379
"{2009-07-08 20:00:00, 2009-07-15 20:00:00}",309
"{2009-07-15 20:00:00, 2009-07-22 20:00:00}",360
"{2009-07-22 20:00:00, 2009-07-29 20:00:00}",315
"{2009-07-29 20:00:00, 2009-08-05 20:00:00}",359
"{2009-08-05 20:00:00, 2009-08-12 20:00:00}",308
"{2009-08-12 20:00:00, 2009-08-19 20:00:00}",365
"{2009-08-19 20:00:00, 2009-08-26 20:00:00}",304
"{2009-08-26 20:00:00, 2009-09-02 20:00:00}",366
"{2009-09-02 20:00:00, 2009-09-09 20:00:00}",302
"{2009-09-09 20:00:00, 2009-09-16 20:00:00}",372
"{2009-09-16 20:00:00, 2009-09-23 20:00:00}",302
"{2009-09-23 20:00:00, 2009-09-30 20:00:00}",368
"{2009-09-30 20:00:00, 2009-10-07 20:00:00}",302
"{2009-10-07 20:00:00, 2009-10-14 20:00:00}",381
"{2009-10-14 20:00:00, 2009-10-21 20:00:00}",308
"{2009-10-21 20:00:00, 2009-10-28 20:00:00}",376
"{2009-10-28 20:00:00, 2009-11-04 19:00:00}",312
"{2009-11-04 19:00:00, 2009-11-11 19:00:00}",375
"{2009-11-11 19:00:00, 2009-11-18 19:00:00}",310
"{2009-11-18 19:00:00, 2009-11-25 19:00:00}",375
"{2009-11-25 19:00:00, 2009-12-02 19:00:00}",315
"{2009-12-02 19:00:00, 2009-12-09 19:00:00}",367
"{2009-12-09 19:00:00, 2009-12-16 19:00:00}",322
"{2009-12-16 19:00:00, 2009-12-23 19:00:00}",369
"{2009-12-23 19:00:00, 2009-12-30 19:00:00}",300
