week,count,total_income,average_income_per_order
"{2000-10-25 19:00:00, 2000-11-01 18:00:00}",2019,3.924777260961997E10,1.943921377395739E7
"{2000-11-01 18:00:00, 2000-11-08 18:00:00}",2044,1.7022767986960005E10,8328164.377181998
"{2000-11-08 18:00:00, 2000-11-15 18:00:00}",2040,2.9113345448210014E10,1.4271247768730398E7
"{2000-11-15 18:00:00, 2000-11-22 18:00:00}",2010,2.3513071353020004E10,1.1698045449263684E7
"{2000-11-22 18:00:00, 2000-11-29 18:00:00}",2039,2.0496488800399967E10,1.0052225993330048E7
"{2000-11-29 18:00:00, 2000-12-06 18:00:00}",2053,2.8358219619140053E10,1.3813063623546056E7
"{2000-12-06 18:00:00, 2000-12-13 18:00:00}",2049,2.1948634896880013E10,1.0711876474807229E7
"{2000-12-13 18:00:00, 2000-12-20 18:00:00}",2040,2.4266350510520004E10,1.1895269858098041E7
"{2000-12-20 18:00:00, 2000-12-27 18:00:00}",2026,2.7605025144930008E10,1.3625382598682135E7
"{2000-12-27 18:00:00, 2001-01-03 18:00:00}",2004,1.9173599402320034E10,9567664.372415187
"{2001-01-03 18:00:00, 2001-01-10 18:00:00}",2029,2.2250454579109966E10,1.0966217141010333E7
"{2001-01-10 18:00:00, 2001-01-17 18:00:00}",1987,3.3251420495380024E10,1.673448439626574E7
"{2001-01-17 18:00:00, 2001-01-24 18:00:00}",2013,4.054230665508002E10,2.0140241756125193E7
"{2001-01-24 18:00:00, 2001-01-31 18:00:00}",2010,2.8568517218470028E10,1.421319264600499E7
"{2001-01-31 18:00:00, 2001-02-07 18:00:00}",2011,2.9628475712220047E10,1.4733205227359546E7
"{2001-02-07 18:00:00, 2001-02-14 18:00:00}",2015,2.4402395898499992E10,1.211037017295285E7
"{2001-02-14 18:00:00, 2001-02-21 18:00:00}",1994,2.610604820261002E10,1.3092301004317963E7
"{2001-02-21 18:00:00, 2001-02-28 18:00:00}",1975,2.2416994296650005E10,1.1350376859063294E7
"{2001-02-28 18:00:00, 2001-03-07 18:00:00}",1977,2.5762138824739998E10,1.3030925050450176E7
"{2001-03-07 18:00:00, 2001-03-14 18:00:00}",2005,3.1751812687940002E10,1.5836315555082295E7
"{2001-03-14 18:00:00, 2001-03-21 18:00:00}",2000,2.294633147878002E10,1.147316573939001E7
"{2001-03-21 18:00:00, 2001-03-28 18:00:00}",1989,2.191064806767994E10,1.1015911547350397E7
"{2001-03-28 18:00:00, 2001-04-04 19:00:00}",1932,1.2225906202259985E10,6328108.800341607
"{2001-04-04 19:00:00, 2001-04-11 19:00:00}",1956,2.9808310578859985E10,1.5239422586329237E7
"{2001-04-11 19:00:00, 2001-04-18 19:00:00}",1940,1.4758890361290007E10,7607675.443963921
"{2001-04-18 19:00:00, 2001-04-25 19:00:00}",1964,3.5049351360879944E10,1.7845901914908323E7
"{2001-04-25 19:00:00, 2001-05-02 19:00:00}",1954,3.2018649305209976E10,1.638620742334185E7
"{2001-05-02 19:00:00, 2001-05-09 19:00:00}",1966,2.5605739275640076E10,1.3024282439287933E7
"{2001-05-09 19:00:00, 2001-05-16 19:00:00}",1952,2.3115373507860023E10,1.1841892165911898E7
"{2001-05-16 19:00:00, 2001-05-23 19:00:00}",1935,1.697774387573E10,8774027.842754522
"{2001-05-23 19:00:00, 2001-05-30 19:00:00}",1924,2.1310019966130013E10,1.1075893953290027E7
"{2001-05-30 19:00:00, 2001-06-06 19:00:00}",1951,3.0754819068699993E10,1.5763618179753968E7
"{2001-06-06 19:00:00, 2001-06-13 19:00:00}",1928,2.4362740021000042E10,1.2636275944502097E7
"{2001-06-13 19:00:00, 2001-06-20 19:00:00}",1972,1.407767948356E10,7138782.6995740365
"{2001-06-20 19:00:00, 2001-06-27 19:00:00}",1956,2.5157705148379982E10,1.2861812448047025E7
"{2001-06-27 19:00:00, 2001-07-04 19:00:00}",1977,1.9647336347800022E10,9937954.652402641
"{2001-07-04 19:00:00, 2001-07-11 19:00:00}",1932,2.0837232313450005E10,1.0785316932427539E7
"{2001-07-11 19:00:00, 2001-07-18 19:00:00}",1947,2.5773555893710007E10,1.323757364854135E7
"{2001-07-18 19:00:00, 2001-07-25 19:00:00}",1967,1.2929455400919992E10,6573185.25720386
"{2001-07-25 19:00:00, 2001-08-01 19:00:00}",1983,1.9919441889990013E10,1.0045104331815438E7
"{2001-08-01 19:00:00, 2001-08-08 19:00:00}",1957,1.456647309720999E10,7443266.7844711235
"{2001-08-08 19:00:00, 2001-08-15 19:00:00}",1974,2.187999175414E10,1.1084089034518743E7
"{2001-08-15 19:00:00, 2001-08-22 19:00:00}",1966,2.180217704711E10,1.1089611926302137E7
"{2001-08-22 19:00:00, 2001-08-29 19:00:00}",1945,1.0175886341570002E10,5231818.170473008
"{2001-08-29 19:00:00, 2001-09-05 19:00:00}",1940,2.614761939887997E10,1.3478154329319572E7
"{2001-09-05 19:00:00, 2001-09-12 19:00:00}",1932,1.3944671070779985E10,7217738.649472042
"{2001-09-12 19:00:00, 2001-09-19 19:00:00}",1980,2.2616026710329994E10,1.1422235712287877E7
"{2001-09-19 19:00:00, 2001-09-26 19:00:00}",1943,2.122744941196E10,1.092508976426145E7
"{2001-09-26 19:00:00, 2001-10-03 19:00:00}",1932,2.7126449071409985E10,1.4040605109425457E7
"{2001-10-03 19:00:00, 2001-10-10 19:00:00}",1949,3.0946113077709995E10,1.587794411375577E7
"{2001-10-10 19:00:00, 2001-10-17 19:00:00}",1914,2.2572481305999996E10,1.1793354914315568E7
"{2001-10-17 19:00:00, 2001-10-24 19:00:00}",1947,2.554814318243997E10,1.3121799271926023E7
"{2001-10-24 19:00:00, 2001-10-31 18:00:00}",1981,1.72265460853E10,8695883.940080767
"{2001-10-31 18:00:00, 2001-11-07 18:00:00}",1991,2.1690423119890068E10,1.0894235620236097E7
"{2001-11-07 18:00:00, 2001-11-14 18:00:00}",1971,1.1241649242569994E10,5703525.744581427
"{2001-11-14 18:00:00, 2001-11-21 18:00:00}",2017,2.700795219268003E10,1.3390159738562236E7
"{2001-11-21 18:00:00, 2001-11-28 18:00:00}",1973,2.6209231864289963E10,1.3283949246979201E7
"{2001-11-28 18:00:00, 2001-12-05 18:00:00}",2025,2.0163267717180046E10,9957169.243051875
"{2001-12-05 18:00:00, 2001-12-12 18:00:00}",1982,2.386193088320999E10,1.203931931544399E7
"{2001-12-12 18:00:00, 2001-12-19 18:00:00}",2033,2.6320873656729946E10,1.2946814390914878E7
"{2001-12-19 18:00:00, 2001-12-26 18:00:00}",2015,3.1178232594539993E10,1.547306828513151E7
"{2001-12-26 18:00:00, 2002-01-02 18:00:00}",2021,2.7191642957979984E10,1.3454548717456697E7
"{2002-01-02 18:00:00, 2002-01-09 18:00:00}",2014,2.2978985234320026E10,1.1409625240476677E7
"{2002-01-09 18:00:00, 2002-01-16 18:00:00}",1990,2.4470464228320007E10,1.229671569262312E7
"{2002-01-16 18:00:00, 2002-01-23 18:00:00}",1993,2.819145244473001E10,1.4145234543266438E7
"{2002-01-23 18:00:00, 2002-01-30 18:00:00}",1963,3.1274803397780003E10,1.5932146407427408E7
"{2002-01-30 18:00:00, 2002-02-06 18:00:00}",1968,2.6255060986219997E10,1.334098627348577E7
"{2002-02-06 18:00:00, 2002-02-13 18:00:00}",1984,2.411673697250997E10,1.2155613393402204E7
"{2002-02-13 18:00:00, 2002-02-20 18:00:00}",2007,3.5830108831979965E10,1.7852570419521656E7
"{2002-02-20 18:00:00, 2002-02-27 18:00:00}",2014,2.7901279599429955E10,1.3853664150660355E7
"{2002-02-27 18:00:00, 2002-03-06 18:00:00}",2026,3.439000010667002E10,1.6974333715039495E7
"{2002-03-06 18:00:00, 2002-03-13 18:00:00}",2042,2.304212646878995E10,1.1284097193334943E7
"{2002-03-13 18:00:00, 2002-03-20 18:00:00}",2026,2.4488903786910015E10,1.2087316775375132E7
"{2002-03-20 18:00:00, 2002-03-27 18:00:00}",2030,2.5110135892510017E10,1.2369525070201978E7
"{2002-03-27 18:00:00, 2002-04-03 18:00:00}",2024,2.106548617822003E10,1.0407848902282624E7
"{2002-04-03 18:00:00, 2002-04-10 19:00:00}",2025,2.5527310424720043E10,1.2606079222083973E7
"{2002-04-10 19:00:00, 2002-04-17 19:00:00}",2059,2.9494903172410004E10,1.4324867980772221E7
"{2002-04-17 19:00:00, 2002-04-24 19:00:00}",2048,2.7409093911930042E10,1.3383346636684591E7
"{2002-04-24 19:00:00, 2002-05-01 19:00:00}",2064,1.898796927223998E10,9199597.515620144
"{2002-05-01 19:00:00, 2002-05-08 19:00:00}",2045,1.968629039351004E10,9626547.869687062
"{2002-05-08 19:00:00, 2002-05-15 19:00:00}",2033,1.7051655720329994E10,8387435.179699948
"{2002-05-15 19:00:00, 2002-05-22 19:00:00}",2047,3.3594108753969986E10,1.6411386787479231E7
"{2002-05-22 19:00:00, 2002-05-29 19:00:00}",2001,2.497858068700003E10,1.248304881909047E7
"{2002-05-29 19:00:00, 2002-06-05 19:00:00}",2032,2.6369792266829983E10,1.2977259973833652E7
"{2002-06-05 19:00:00, 2002-06-12 19:00:00}",2056,2.0576583534830036E10,1.000806592160994E7
"{2002-06-12 19:00:00, 2002-06-19 19:00:00}",2030,2.3951691823039974E10,1.1798862967014765E7
"{2002-06-19 19:00:00, 2002-06-26 19:00:00}",2073,2.703748242445998E10,1.3042683272773748E7
"{2002-06-26 19:00:00, 2002-07-03 19:00:00}",2084,3.1608139397520023E10,1.5167053453704426E7
"{2002-07-03 19:00:00, 2002-07-10 19:00:00}",2049,3.509448735078996E10,1.712761705748656E7
"{2002-07-10 19:00:00, 2002-07-17 19:00:00}",2068,1.937642339985002E10,9369643.81037235
"{2002-07-17 19:00:00, 2002-07-24 19:00:00}",2049,1.9892918401799995E10,9708598.536749631
"{2002-07-24 19:00:00, 2002-07-31 19:00:00}",2086,2.4185786519199963E10,1.1594336778139964E7
"{2002-07-31 19:00:00, 2002-08-07 19:00:00}",2092,4.353670780984999E10,2.0811045798207454E7
"{2002-08-07 19:00:00, 2002-08-14 19:00:00}",2092,2.9218021811989986E10,1.3966549623322174E7
"{2002-08-14 19:00:00, 2002-08-21 19:00:00}",2082,4.168784183216997E10,2.002297878586454E7
"{2002-08-21 19:00:00, 2002-08-28 19:00:00}",2088,2.4907672351999985E10,1.1928961854406122E7
"{2002-08-28 19:00:00, 2002-09-04 19:00:00}",2110,4.42619958906899E10,2.0977249237293795E7
"{2002-09-04 19:00:00, 2002-09-11 19:00:00}",2128,3.203329857374996E10,1.5053241810972726E7
"{2002-09-11 19:00:00, 2002-09-18 19:00:00}",2123,2.6428136925879925E10,1.244848654068767E7
"{2002-09-18 19:00:00, 2002-09-25 19:00:00}",2112,3.541842546735994E10,1.677008781598482E7
"{2002-09-25 19:00:00, 2002-10-02 19:00:00}",2082,2.207942923905994E10,1.060491317918345E7
"{2002-10-02 19:00:00, 2002-10-09 19:00:00}",2136,2.155566853070002E10,1.0091605117368924E7
"{2002-10-09 19:00:00, 2002-10-16 19:00:00}",2135,1.3308317289990026E10,6233403.8828993095
"{2002-10-16 19:00:00, 2002-10-23 19:00:00}",2146,2.627771295881001E10,1.2244973419762352E7
"{2002-10-23 19:00:00, 2002-10-30 18:00:00}",2096,2.890024780332E10,1.3788286165706107E7
"{2002-10-30 18:00:00, 2002-11-06 18:00:00}",2093,2.0045862512659973E10,9577574.062427126
"{2002-11-06 18:00:00, 2002-11-13 18:00:00}",2123,4.1009085275369995E10,1.9316573375115402E7
"{2002-11-13 18:00:00, 2002-11-20 18:00:00}",2133,2.3315574048739967E10,1.0930883285860276E7
"{2002-11-20 18:00:00, 2002-11-27 18:00:00}",2112,2.2461812655500027E10,1.0635327961884482E7
"{2002-11-27 18:00:00, 2002-12-04 18:00:00}",2158,2.7467505243460003E10,1.272822300438369E7
"{2002-12-04 18:00:00, 2002-12-11 18:00:00}",2144,1.6490916096549976E10,7691658.627122191
"{2002-12-11 18:00:00, 2002-12-18 18:00:00}",2167,1.5936159679629995E10,7354019.2337932605
"{2002-12-18 18:00:00, 2002-12-25 18:00:00}",2157,2.6211992624100018E10,1.2152059631015306E7
